"adr","adults","new_column"
0,2,0
0,2,0
75,1,75
75,1,75
98,2,49
98,2,49
107,2,53.5
103,2,51.5
82,2,41
105.5,2,52.75
123,2,61.5
145,2,72.5
97,2,48.5
154.77,2,77.385
94.71,2,47.355
97,2,48.5
97.5,2,48.75
88.2,2,44.1
107.42,2,53.71
153,2,76.5
97.29,1,97.29
84.67,2,42.335
84.67,2,42.335
99.67,2,49.835
94.95,2,47.475
63.6,2,31.8
79.5,2,39.75
107,2,53.5
94,2,47
87.3,2,43.65
62,1,62
63.86,2,31.93
108.3,2,54.15
65.5,2,32.75
108.8,3,36.2666666666667
108.8,3,36.2666666666667
98,2,49
108.8,3,36.2666666666667
108.8,3,36.2666666666667
137,2,68.5
117.81,2,58.905
79.5,2,39.75
123,2,61.5
137,2,68.5
110.7,2,55.35
153,2,76.5
58.95,2,29.475
82.88,2,41.44
82.35,2,41.175
119.35,2,59.675
67.58,2,33.79
56.01,2,28.005
110.7,2,55.35
88.2,2,44.1
147,2,73.5
107,2,53.5
147,2,73.5
117.9,2,58.95
123,2,61.5
98,2,49
117.81,2,58.905
135,2,67.5
133,2,66.5
58.95,2,29.475
136.33,2,68.165
153,2,76.5
110.5,2,55.25
97,2,48.5
110.3,3,36.7666666666667
82,2,41
97,2,48.5
73.8,2,36.9
91.5,2,45.75
114.5,2,57.25
110.3,3,36.7666666666667
90.9,2,45.45
123,2,61.5
122,1,122
110.7,2,55.35
85.86,3,28.62
58.95,2,29.475
55.68,2,27.84
55.68,2,27.84
124,2,62
111.15,2,55.575
134.73,2,67.365
92.45,2,46.225
108.73,2,54.365
73.8,2,36.9
98,2,49
131,2,65.5
123,2,61.5
94.71,2,47.355
123,2,61.5
123,2,61.5
73.8,2,36.9
117,2,58.5
196.54,3,65.5133333333333
99.3,2,49.65
90.95,2,45.475
92.67,2,46.335
71.55,2,35.775
96.49,1,96.49
85.8,2,42.9
96.3,2,48.15
163,2,81.5
172,3,57.3333333333333
110.7,2,55.35
58.95,2,29.475
73.8,2,36.9
97,2,48.5
139,2,69.5
67.24,2,33.62
116.5,3,38.8333333333333
96.3,2,48.15
123,2,61.5
71.55,2,35.775
71.55,2,35.775
149,2,74.5
163,2,81.5
79.5,2,39.75
105,1,105
123,1,123
73.8,2,36.9
113,2,56.5
0,4,0
123,2,61.5
73.8,2,36.9
114.5,2,57.25
73.8,2,36.9
73.8,2,36.9
88.2,2,44.1
97,2,48.5
85.1,2,42.55
89,1,89
80.1,1,80.1
98,2,49
101,1,101
97,2,48.5
167,2,83.5
225,3,75
97,2,48.5
87.3,2,43.65
85.59,2,42.795
123,2,61.5
107,2,53.5
163,2,81.5
82,2,41
163,2,81.5
105.5,2,52.75
164.2,2,82.1
97.29,2,48.645
114,2,57
98.4,2,49.2
175,2,87.5
63.6,2,31.8
124.45,3,41.4833333333333
110.7,2,55.35
74.07,1,74.07
134.1,2,67.05
167,2,83.5
123,2,61.5
117.81,2,58.905
171.32,3,57.1066666666667
210,2,105
97,2,48.5
117.81,3,39.27
0,2,0
0,1,0
131,2,65.5
98,2,49
87.3,2,43.65
97,2,48.5
167,2,83.5
91.5,2,45.75
73.8,2,36.9
123,2,61.5
175,2,87.5
117.8,2,58.9
117.63,2,58.815
185,2,92.5
71,1,71
47.25,2,23.625
151,2,75.5
87.3,2,43.65
120.6,2,60.3
63.86,2,31.93
157.1,2,78.55
91.37,2,45.685
73,1,73
110.7,2,55.35
93.6,2,46.8
83.5,2,41.75
73.8,2,36.9
82,2,41
185.5,2,92.75
0,2,0
0,2,0
109.8,1,109.8
195,3,65
109.8,1,109.8
193,3,64.3333333333333
97,2,48.5
150,3,50
98,2,49
91.5,2,45.75
139,2,69.5
79.5,2,39.75
47.25,2,23.625
126.65,2,63.325
107,2,53.5
131,2,65.5
131,2,65.5
123,2,61.5
146,2,73
110.7,2,55.35
73.8,2,36.9
61,1,61
104.72,2,52.36
104.72,2,52.36
104.72,2,52.36
66.42,2,33.21
77.96,2,38.98
112,2,56
107,2,53.5
89.68,2,44.84
155,2,77.5
112,3,37.3333333333333
130.1,3,43.3666666666667
100.1,2,50.05
123,2,61.5
124,3,41.3333333333333
146,2,73
97,2,48.5
123,2,61.5
153,2,76.5
82,2,41
105.08,2,52.54
65.42,2,32.71
98,1,98
75.46,2,37.73
65.5,2,32.75
90.95,2,45.475
93.6,2,46.8
119.25,2,59.625
134.73,2,67.365
112,2,56
118.13,2,59.065
131,2,65.5
88.2,2,44.1
73.8,2,36.9
98,2,49
110.5,2,55.25
131,2,65.5
185,2,92.5
87.3,2,43.65
73.8,2,36.9
120,2,60
98,2,49
96.3,2,48.15
197,2,98.5
197,2,98.5
123,2,61.5
82,2,41
165,2,82.5
149.4,2,74.7
106.84,2,53.42
161,2,80.5
134.43,2,67.215
144.43,2,72.215
152,1,152
125.54,2,62.77
133.83,2,66.915
159.75,3,53.25
120.6,2,60.3
112.2,2,56.1
110.6,2,55.3
105.9,2,52.95
95.27,2,47.635
108.83,2,54.415
153.96,2,76.98
120.6,2,60.3
90.67,2,45.335
126.67,2,63.335
144.4,3,48.1333333333333
99.5,2,49.75
139.4,2,69.7
73.8,2,36.9
89.97,2,44.985
123,2,61.5
123,2,61.5
123,1,123
144.9,2,72.45
153,2,76.5
131,2,65.5
100,2,50
65.5,2,32.75
123,2,61.5
123,2,61.5
131,2,65.5
104.68,2,52.34
166,2,83
111.25,2,55.625
213.75,2,106.875
178,2,89
113.9,2,56.95
129.29,2,64.645
153,2,76.5
98,2,49
169,2,84.5
93,2,46.5
132.29,2,66.145
123,2,61.5
117.22,2,58.61
149,2,74.5
